item,classification,evidence,scope,limitation
Unique enrollment material and honest progress,TESTED,prototype/tests/test_paragraph_enrollment.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Enrollment persistence and cancellation,TESTED,prototype/tests/test_people.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; prototype/tests/test_enrollment_cleanup.py,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Personal gallery remains untouched; no human enrollment session performed.
Independent E/C/Q reference groups,TESTED,research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_PLAN.md; research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_AUDIT.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Undocumented transformed aliases/unique-human re-identification not exhaustively ruled out. Three same-book E/C cases have different chapters and are declared.
Same-device and clean-source references separated,TESTED,research/nvidia_nemo_comparison/20260924_campaign/data/ENROLLMENT_CAPABILITY_MATRIX.csv; research/nvidia_nemo_comparison/20260924_campaign/data/PROCESSED_C_AUDIT.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Processed C is collection-only evidence until C-only projection reviewed. Same-device is not identical query room/configuration.
Model-specific galleries and personal data,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_PLAN.md; research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,TitaNet embedding/export execution remains NOT_TESTED. No private personal recording accessed.
Script-aware references,TESTED,prototype/tests/test_script_evidence.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Script estimates are not phonetic alignment. Optional script preparation belongs N3.
Phonetic neural adaptation,DEFERRED,research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Outside N1 and current saved-audio comparison scope.
Progressive adaptation primary OFF,TESTED,prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Any controlled optional N4 adaptation remains a separately declared condition.
Forced names and seats cannot certify learning,TESTED,prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Protect anchors and rollback,TESTED,prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Frozen neural weights and domain separation,TESTED,prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source tests verify data policy; no acoustic adaptation efficacy claim.
Original versus normalized words,TESTED,research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json; prototype/tests/test_text_assistance.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
WD-40 exact spelling preservation,TESTED,research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Text fixture only; no recognition/normalization accuracy claim.
WD-40 spoken-form normalization,DEFERRED,research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,The frozen N1 prototype does not normalize double u dee forty into WD-40.
Amir approved spelling example,TESTED,research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Orthographic heuristic only. Never identity or acoustic evidence.
PnC and ITN separated,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/assets/MODEL_ACCESS_MATRIX.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Comparative PnC/ITN tests belong N3. No independent conversational punctuation gold was found.
Wider contextual reconstruction,DEFERRED,prototype/tests/test_text_assistance.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,General reconstruction outside N1. Existing ASR hotword route unavailable for baseline tokenizer.
Saved processed inputs and quality diagnostics,TESTED,research/nvidia_nemo_comparison/20260924_campaign/data/DATA_AUDIT_SUMMARY.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Quality analysis across candidate outputs belongs N4.
No denoiser comparison or new noise acquisition,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/assets/download_receipts.json; research/nvidia_nemo_comparison/20260924_campaign/data/DATA_AUDIT_SUMMARY.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Legacy mocked noise tests do not mean a denoiser model was run.
No raw-minus-processed noise inference,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,No removed-noise signal or denoising efficacy claim.
Low quality versus calibrated confidence,TESTED,prototype/tests/test_buffers_quality.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; prototype/tests/test_roster_ui.py,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Confidence calibration is unavailable unless separately measured on disjoint C data.
Linked audio inputs and transcripts,TESTED,prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Only saved input/test fixtures used; private full transcripts remain outside Git/handoff.
Explicit new session,TESTED,prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Save/delete with data protection,TESTED,prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
CPU/RAM/VRAM resource logs,TESTED,research/nvidia_nemo_comparison/20260924_campaign/assets/environment_receipt.json; prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Host resource inventory is not isolated model memory or CM5 performance.
Truthful availability/source clocks,TESTED,prototype/tests/test_live_timing.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Accelerated file inference is not source-speed live latency. 50ms RIR convention is not measured hardware latency.
GUI idle and no microphone during campaign,TESTED,prototype/tests/test_n1_safe_start.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/hardware_guard.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"User work/calls remain on input desktop. No device probing, default playback changes or Pi access."
Unassigned sensor pins/axes/bus/driver,TESTED,prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,GPIO/address/display-controller/BMI270/camera/button wiring awaits user hardware details.
Acceleration does not prove translation/range,TESTED,prototype/tests/test_motion.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"No drift-free translation, absolute range or hardware calibration claim."
Future physical spatial calibration,DEFERRED,prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"Pi remains powered off and disconnected for entire campaign, per current user instruction."
Four-day comparison supersedes old no-campaign context,IMPLEMENTED,G:/Just_Peachy_N1/20260924_campaign/local/supervision/campaign.json; research/nvidia_nemo_comparison/20260924_campaign/supervision/README.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"96h is a target, not a minimum runtime or guarantee."
Prototype-first common UI freeze,TESTED,research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Later critical changes require a new version and affected paired checks.
Portable 2GB priority and runnable variants,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Windows native build proves no ARM64 speed/RAM result. No multiple automatic stacks in 2GB profile.
Inspect queued improvements rather than assuming execution,TESTED,prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json; research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
UI first then novel components and comparison,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json; research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Do not interpret seeded backend choices as functioning adapters or compared models.
Baseline paired-screen acceptance,TESTED,research/nvidia_nemo_comparison/20260924_campaign/data/BASELINE_ANALYSIS_SUMMARY.json; research/nvidia_nemo_comparison/20260924_campaign/data/REGRESSION_ANALYSIS_SUMMARY.json; G:/Just_Peachy_N1/20260924_campaign/evidence/frontend/baseline_full_gui_v1/GUI_REPLAY_REPORT.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"Final-state GUI rendering is separate from source-paced inference; it does not measure online GUI latency, physical scanout or Pi performance."
Self-contained prompts and source authority,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/review/README.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Underlying original raw note document was not attached. This catalogue maps the 13-section supplied summary plus explicit N1 items.
Current reasoning preference,IMPLEMENTED,C:/Users/amiri/Downloads/Codex_N1_Foundation_UI_Data_and_Supervision.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,No tool-run receipt is invented for a model/reasoning setting that a child agent cannot independently verify.
Licensed no-charge access and exact revisions,TESTED,research/nvidia_nemo_comparison/20260924_campaign/assets/download_receipts.json; research/nvidia_nemo_comparison/20260924_campaign/assets/terms_receipts.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,A1/E1 NeMo runtime/export setup still required; optional X1 deferred; P2 unverified. No paid services or credential collection.
OS check-ins at 10/15/30 minutes,TESTED,G:/Just_Peachy_N1/20260924_campaign/local/supervision/scheduler-register.json; G:/Just_Peachy_N1/20260924_campaign/local/supervision/scheduler-test-trigger.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Logged-out/asleep host is not supervised; no wake/reboot. Numerical workers run independently.
"Locks, failure/resume/cleanup and durable status",TESTED,research/nvidia_nemo_comparison/20260924_campaign/supervision/test_supervisor.py; G:\Just_Peachy_N1\20260924_campaign\local\checks\supervisor-final-v3.txt,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Tests use isolated state and harmless child processes. An uncertain legacy orphan requires manual recovery; no competing Codex resume is launched.
No unchanged healthy LLM check or competing resume,DEFERRED,research/nvidia_nemo_comparison/20260924_campaign/supervision/README.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Manual Codex resume is required. Never claim autonomous LLM check-ins or use ambiguous --last.
Git branch backup and sanitized handoff,TESTED,research/nvidia_nemo_comparison/20260924_campaign/GIT_RECEIPT.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Push status is limited to the verified refs in GIT_RECEIPT.json. ZIP completion/integrity is separately recorded in HANDOFF_PACKAGE.json; no private speech or model payload is admitted.
Master workbook update proposal only,IMPLEMENTED,research/nvidia_nemo_comparison/20260924_campaign/WORKBOOK_UPDATE.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,This catalogue and proposal do not rewrite the master workbook.
Saved Pi evidence and later ARM64 preparation,DEFERRED,research/nvidia_nemo_comparison/20260924_campaign/assets/environment_receipt.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Physical CM5 2GB acceptance deferred until user connects it after campaign.
Offline baseline packaging,TESTED,ARTIFACT_INDEX.json,All ZIP member hashes; private assets included,Target install/model execution pending
Native ARM64 alternative infrastructure,TESTED,NATIVE_BUILD_RECEIPT.json; ARM64_NATIVE_AUDIT.json; EMULATED_LOADER.json,Actual cross-build and emulated loader,Model/stateful WAV parity and accepted composition pending
Wired deployment helper closure,TESTED,RELEASE_TEST_RESULTS.json; prototype/release_tools/tests/test_deploy.ps1,Non-networked transfer reconstruction/import,No physical transfer
Full-bank ranking and noisy naming causes,DEFERRED,../n4/MATRIX.json,0/7680 N4 cells,No final identity/ASR gain claimed
CM5/XVF/IMU/camera/buttons/touch,DEFERRED,HARDWARE_PROFILE.json,Null/disabled planning only,Pi offline; pins/ABI/physical performance unknown
