case_id,family_id,family,room,corpora,quality_partitions,actor_ids,roles,historical_source_partition,reference_class,complete_reference,overlap,utterances,reference_words,scheduled_duration_s,prepared_frames,sample_rate_hz,channels,prepared_format,raw_format,capture_id,capture_minus_source_offset_samples,O0_sha256,O1_sha256,O0_gain_already_applied,O1_gain_already_applied,runtime_gain,original_normalized_transcripts,activity_reference,exact_word_timing,exact_phonetic_timing,punctuation_reference,metric_limitations,screen_48
S45_05_18,F05,Folded spatial and front/rear contrasts,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_awb"", ""CMU_ARCTIC_slt""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,d380803ee387605e1811e43e6de4341faf13f3bd9bbe6e9bef77b3e7e3b79a1f,c1a6a517099e0726e07ccc14e6505fc434200a6f1d6d975d2af2d4296d631589,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_05_19,F05,Folded spatial and front/rear contrasts,Upper Loeb,"[""HiFiTTS""]","[""other""]","[""HIFITTS_6670"", ""HIFITTS_6671""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,29,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,f644af4fedec87bdc3e5b6f17b7ba568bbf5d41b2109f1707d2a2c055e4b1ac8,f198218b0767557bfbc59f0e3f1391363567e57a0b78d5187e7cc6f132286fc2,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_05_20,F05,Folded spatial and front/rear contrasts,Upper Loeb,"[""HiFiTTS""]","[""other""]","[""HIFITTS_6670"", ""HIFITTS_6671""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,29,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,71d032cd184da76555762dab6ac289cab5d3844fc6eaea1c2fffe2bc35d28eca,6b2bd5b0c3aeac720a7882345672ea26eb770c2c3fcdc317d5f1ef008127a86f,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_06_05,F06,Silent relocation and long-paused return,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047"", ""CV_2abbf1ec09fa0aeb6d9b""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,39,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,c4df04a3e8bb60dedf308f4504841432459a8de42580781d35d1edb56e7fa691,774fc0b3309a0ef90e8be45765dc5363408b9993e0056eaa3faf7fd70e9bb2b6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_06_09,F06,Silent relocation and long-paused return,Library Conference Room,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_12787"", ""HIFITTS_6097""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,37,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,6cb9ecbcf0eb7b29eee9a813499c74789c9ad2782ff3397fd3d4c045214223e1,e17555a41fcde4b57e6daa513f6bd2873f38d546e937c5a694203a07edad2ef6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_06_16,F06,Silent relocation and long-paused return,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_axb"", ""CMU_ARCTIC_rxr""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,21,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,a66deea8e499c41f804056f9e169d028e1c3d889ef271fccff727c18238165b3,f638958ecb04bdf97a5c27db891ef267f6d5dbad5a9cf9a271e6e960e6fbefa4,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_06_19,F06,Silent relocation and long-paused return,Upper Loeb,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_lnh"", ""CMU_ARCTIC_rms""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,21,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,a8a1c0343805b67a1f3fa4d5eabbf527e07ee5c388b592dae7254c9b84b98321,ea37ce7e42f6136ffeacb961c79c428e58de4361f0814aea8a129afa1c647d63,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_07_15,F07,Matched flat and upright,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_awb"", ""CMU_ARCTIC_slt""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,31,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,90a1e89e950b26b5a6d9729f8d8f96308e68e4c54b385d43460cd66996096321,e3a82167505ea1924a6b59fc2b6ed8d562992c20631188c6069d90a9e062b238,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_07_16,F07,Matched flat and upright,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_awb"", ""CMU_ARCTIC_slt""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,31,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,a7c12080504f508c34f0e5c8c445412d7a6ed8e0de350a6320ebad0a13ad53d1,d9db840507056d40b7d23ee8dd9a24cc2075302c1b9066b4bb61d585a5382cf8,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_07_17,F07,Matched flat and upright,Upper Loeb,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_9136"", ""HIFITTS_92""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,28,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,6a5f829a3896e487df07fd533628f7a7f9da45203509839d38f1ef84bd7b0333,0020bb93e064ce7e79ce983e6ecc491db026810dc7c87f46a7bf2c92fe6cf871,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_07_18,F07,Matched flat and upright,Upper Loeb,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_9136"", ""HIFITTS_92""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,28,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,32f341676e94fc213acfe70a12610cc59fd186d8d85ee19844924927e018d718,851c6792bc24626d01b28fefccbe0ca7bc6bc2129a5a1f85f97b065d38cdab9d,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_08_09,F08,Matched clear and obstructed,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6780c1e3d0bfe13078f7"", ""CV_8c9d6f14b797c3ffeb85""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,15,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,b9dd5ad14e3bb94fc34b40b910484c3201a6e3a307eb19e14727036df0f81224,60d01740cc98eefc2506178dcc23c883f84c89ebd039bbf4cf47f468947c2075,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_08_10,F08,Matched clear and obstructed,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6780c1e3d0bfe13078f7"", ""CV_8c9d6f14b797c3ffeb85""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,15,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,b17e01dbd7ba1b8db3191ada5eda8edaf0f23bafe02dacef924d91526896902e,825db9a3014a353f36568b20f4cfd9cd76b49f442bb9608b27ac6cb4307a30bc,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_08_19,F08,Matched clear and obstructed,Arise Floor 2 Kitchen,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_8051"", ""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,18,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,d423dfcc9674f5d050b04af1af24178cebacf3be96ba2b8300c1822c39256a00,dbe78319ffe8fcf0a4b2b538311efdca7e9b526379f95bd21bbede614efae6f0,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_08_20,F08,Matched clear and obstructed,Arise Floor 2 Kitchen,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_8051"", ""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,18,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,f4be0a09a6db0b00a457750c0fbb0081dfc4149827faa5d5690fee4a304e12cd,71a543051579f281417e1f5601946b1acab512be78e5062ba1019a607b601873,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_09_01,F09,Near table speech and distant outsider,Arise 5th floor low table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_gka"", ""CMU_ARCTIC_jmk""]","[""background_talker"", ""target_or_conversation""]",development,complete_overlap,True,True,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,30370c501f3346c21adec50d7edc3d570384be264eef06f582aa477b7ca9ff47,132de57e894495ad55f74c8625206f11b28bc56dccdd312d0378cc1c120b1ad2,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_09_08,F09,Near table speech and distant outsider,Arise Kitchen Main Table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_e2570918d433fe70613d"", ""CV_f82fc5dd15117edcfe9a""]","[""background_talker"", ""target_or_conversation""]",development,complete_overlap,True,True,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,1475839be2b459f2bf8dd0222b0b07c0318210ff6d126fc4f30bbc01e336eef1,126381e4e8f559e6dcaddb3b180ba789d4b1b3ed11b6cff82b8c22c4afa653a9,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_09_15,F09,Near table speech and distant outsider,Arise Kitchen Main Table,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_9136"", ""HIFITTS_92""]","[""background_talker"", ""target_or_conversation""]",development,complete_overlap,True,True,3,19,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,41531fba132b3307e6cdf4b3240c4eae3c283ed35dcbc15cc96c9f84f267db0f,c27783f5a71e497b3438dcfa520fcddfcdce125f3f7d0effe87a0eb9c08fdb6b,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_09_20,F09,Near table speech and distant outsider,Arise Kitchen Main Table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6b5e3c9ca9030b7da6be"", ""CV_cb8bbb33611dc9825ccf""]","[""background_talker"", ""target_or_conversation""]",downstream_reserve,complete_overlap,True,True,3,26,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T071736_0228fe,2705,285698d13cb27206d8d106992b6a0cfade37ae2e8fd1bbee8b393fc1ed3bd679,9ff37bc5e258009fe66ba6e7ac0b1fcf728679dbbfc5fefca4b82da9e1bdf7c2,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_10_01,F10,Localized nonspeech and transients,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6780c1e3d0bfe13078f7"", ""CV_8c9d6f14b797c3ffeb85""]","[""target_or_conversation""]",development,incomplete_ambient_reference,False,False,3,17,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,d95c95940753f1699deea6419119b6b5ebffadda534182af440b31e5dca5a126,fada82b424186c26785392122a584ba10ff80d6db837e041b178606b2374b2c6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,incomplete all-speaker truth: target-conditioned lexical scoring only,True
