case_id,family_id,family,room,corpora,quality_partitions,actor_ids,roles,historical_source_partition,reference_class,complete_reference,overlap,utterances,reference_words,scheduled_duration_s,prepared_frames,sample_rate_hz,channels,prepared_format,raw_format,capture_id,capture_minus_source_offset_samples,O0_sha256,O1_sha256,O0_gain_already_applied,O1_gain_already_applied,runtime_gain,original_normalized_transcripts,activity_reference,exact_word_timing,exact_phonetic_timing,punctuation_reference,metric_limitations,screen_48
S45_01_11,F01,Isolated speech and source-level controls,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_2abbf1ec09fa0aeb6d9b""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,b9035735b5f82963528d3cebd2c7b2c95705ac509f3f4c9386b505f9c27f827f,a80b395c140d5dbc8e50b16475fdbae618a49db95267be3d464eb59a40af54b6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_12,F01,Isolated speech and source-level controls,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_2abbf1ec09fa0aeb6d9b""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,e1c60371291202f02bdfd988c2f63b9462f11cd7de73c0a106c4b1699adeff63,3a14e9865de05bd726bfd1464983bf724b9d4b381f16b6677e530f044093e3d6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_13,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11697""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,a94d2d4361009706caa199bd3449bc0894aed31dec508847afbfc0298e9f28b8,c00efd36a10512bd2ac99880a2ffde6779db3cc5875ae94b56452b02518593ed,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_14,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11697""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,bdc40c285728061411c3a4b53d1c8cab4764bf5dd97bdc097bf776ced2da901f,25b9c62237260342ec966c4c9afeb8e0932517cbd45e0e181c3134d9cdaa1532,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_15,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11697""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,bf5e5e441fe770a4e4f045e24dc8a3a5f0b1ba1571a33d8ce5588fd0740631db,358f7ca8cb9614cb151d325d8060b1cc63569ab7b95da6d561472a9c5a4f08a6,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_16,F01,Isolated speech and source-level controls,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6b5e3c9ca9030b7da6be""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,28,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,28998833fde4a079dbd5ba140c276d7a160ac9ca5be0dead7493084d31365ac8,3a098bee7f44119888cf56ea44dd38cbb41da65f6beddfc98643b5e281d0a396,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_17,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""HiFiTTS""]","[""other""]","[""HIFITTS_8051""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,26,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,7eba907e77a9ddb23c77f5d83d3d6b580579f6dde36c1183e1e4d024870563c7,6875dee5b0e3494128c981d8b9a1ccc2952cd1b3d9064990049b9a31c7aa2d05,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_18,F01,Isolated speech and source-level controls,Upper Loeb,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_ahw""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,27,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,bd5dc29d3da1fcf2a382c6b32448efdca00ea0f8f893e2d541cca166ae610d79,4730c73487592b5eb33b0025e9aba5cfbdca1763188ce7dd0fa7b9fd93d7f5ee,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_19,F01,Isolated speech and source-level controls,Upper Loeb,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_3b33694cdeb42c66d688""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,5806048aec225d2fdb523053b0cff46cc084637a187a55b157c0a9f113279ae0,de376b744806315e0da2be9c0e9f655ddbcf9d21166310aa9785871e00bf373e,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_20,F01,Isolated speech and source-level controls,Upper Loeb,"[""HiFiTTS""]","[""clean""]","[""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,33,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,f08969906c52bc8b3642c0a7ce8005e36f35360917211fab0c806151838b65c7,21192710164a2e833ead1505059e2ee12d02b83d1c62067ec418b03d66cffd49,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_01,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_12787"", ""HIFITTS_6097""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,45,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,92c4d8f2cca86ef4d47e4d22721b6ef85f28ba0d1a67340cf663b50e0d3961d2,8e0906e0fe398c16a7fcb2ec2f8154ea180486863ee03ae56ea81fd6ba1cc658,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_02,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aup"", ""CMU_ARCTIC_bdl"", ""CMU_ARCTIC_clb""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,40,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,4ffddd7c4907a17589dec34eafdbfddf34aa667749716f38f2b626dd059df70f,1b70ef7998d54c49876ba50c468ff6535b23c051e690f2c40f040096528d6edd,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_03,F02,Returns and three-person sequential turns,Library Conference Room,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_5bb2ca9b27ebe4cea0b5"", ""CV_6780c1e3d0bfe13078f7""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,29,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,ffe9baf748d65c19021b6e399ad57ae8d9609ad3a95694ca8153ba3485e2442a,669bbb1ee991c0cfdcb0f248ed713a6a787658be94cb46a2e546a8053f58448b,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_04,F02,Returns and three-person sequential turns,Arise 5th floor low table,"[""HiFiTTS""]","[""other""]","[""HIFITTS_6670"", ""HIFITTS_6671"", ""HIFITTS_9136""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,44,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,b85c9af0d1b7843625d474e88674b2c39bc007e0873298f7f43bf72c193a1a1e,be58166b6823c4bffb05f51d15061e4977dd16be0505e948b98c9af0085d619d,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_05,F02,Returns and three-person sequential turns,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_eey"", ""CMU_ARCTIC_fem""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,24,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,e4e51aae7813f123d99cfa7758bbbe59ae1e9c09803c6ce2df4cc1211963988a,c49a386c9f234dbb9d5dd4dc0a2356702361e5bd7528ce2bea2c0b940bd9350b,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_06,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_8c9d6f14b797c3ffeb85"", ""CV_bc25d4fe155478871b18"", ""CV_c86d546169ef5ac0dbe9""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,34,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,998383295aeb4792c40ba4bc7a57e5cafcf953ee4665923d79fc7fed12d7c4cf,aeb3d96f0a7e537af410d735faa281653de7e37bdc8f579b203d6b0bbee38ada,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_07,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_11614"", ""HIFITTS_92""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,24,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,15550d3bfd5d46054b3408af7ebfcbb4b912ae6ba90850508c0a793009c33869,dfa0eb8592370dca08810d39b0bfedf5bf50da79dd2ef02a705672b4403e9aee,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_08,F02,Returns and three-person sequential turns,Library Conference Room,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_gka"", ""CMU_ARCTIC_jmk"", ""CMU_ARCTIC_ksp""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,45,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,838032ef24eac27b082740aef95498ae7267d27bd92cf607d1cf52353206c935,3d4654d0dc177d70373b86db48f9a516ace4f58cb7819196a5127bebf2e9cae8,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_09,F02,Returns and three-person sequential turns,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_d3c1e11354306288eba3"", ""CV_da7630c05ea3de5a8b18""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,25,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,54e71498e63ab4cac154c69407541780402fbf698ffa978f89081e511b0b86a6,1918acda07c6f21dae6c5a1f12cf9ecaa4e8e37f9a2cb9697791b557c6107540,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_10,F02,Returns and three-person sequential turns,Arise Floor 2 Kitchen,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_11697"", ""HIFITTS_12787"", ""HIFITTS_6097""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,36,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,12fc1ab3705be85d110e32b16c5ce8d2ca7ee08eaa541e7a0012552b5442472f,1cfa205a9f0e99ab3b04bcd0a40f0ea1aefcbafcead68ddc179f25f396731461,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_11,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_ljm"", ""CMU_ARCTIC_lnh""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,29,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,65fef564325f960b693a03ce89140d63b1b438d29bd615290ef12235607d66f8,c4ced336189970f42332684e2def9ee0e005519ec05b2077cb96c13d7c7123eb,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_12,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047"", ""CV_e2570918d433fe70613d"", ""CV_f82fc5dd15117edcfe9a""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,35,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,6e0375cc57572ee14649a95eb7db1edf87562442b16a8e9b8963abd69875d550,d2288a9fd29c677771254039172012f5007e36efdc6bc41683a0699b193bf7d4,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_13,F02,Returns and three-person sequential turns,Library Conference Room,"[""HiFiTTS""]","[""other""]","[""HIFITTS_6670"", ""HIFITTS_6671""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,27,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,96c8470742b5b9850b194481f705c356b5b307f48a0913fcaed0d7c5516b351d,3211fa719b0c2a6a59cfc5a41a6bb5d65723dc86f005a7cea8df4a140aa5db64,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_14,F02,Returns and three-person sequential turns,Arise 5th floor low table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew"", ""CMU_ARCTIC_rms"", ""CMU_ARCTIC_slp""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,2f08f0f4576ea6fdade30dcd8f9606e521733130a51c7e4fe0cccccaa200d6e4,d07d3ba361f9b6da64c44595b5aba04bf241688ff83ad6de9b110c6d546cff0d,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_15,F02,Returns and three-person sequential turns,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_2abbf1ec09fa0aeb6d9b"", ""CV_3b33694cdeb42c66d688""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,31,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,2fd73137c45dcc99b86c8b1105f3595264872f2c9d2eda6b1a56b17c8903bcb6,1665e56bfc2d94a91e4af626d2957a9657d2e0017215ba2e70fefc7976147643,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_02_16,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_8051"", ""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,4,40,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,912d08651ffb3fd35a20b14399fdf6faac4d08d90426fa1e3d0d31b01b8314c0,ce3e290a7842129d3bbec86d34838b7af8aeb18a668234fc323ada91be14cc42,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_17,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_awb"", ""CMU_ARCTIC_axb""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,28,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,57a5e694db9390254a17207b935a5a396ae8c8a30a4e14d56f77ae52e4a64f47,351c8037976fe44a6ae202094921c1b6c9a42307c4615cc3e8a26bafc22e68b7,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
